DATE,CPIAUCSL,DGORDER,PERMIT,RSAFS,M2,M2V
7/1/2010,217.9343333,193819.3333,574,356875,8645.953846,1.743
10/1/2010,219.699,194712.3333,583.3333333,366705.3333,8758.461538,1.74
1/1/2011,222.0436667,203767.6667,567,375108.3333,8865,1.723
4/1/2011,224.5683333,203173,611.6666667,381417.3333,9030.523077,1.714
7/1/2011,226.0326667,210242,626,384815,9438.915385,1.65
10/1/2011,227.0473333,216838.6667,691.3333333,391115.6667,9603.676923,1.643
1/1/2012,228.326,223690.6667,752,399136,9766.438462,1.639
4/1/2012,228.808,218707.3333,774,398472.6667,9907.638462,1.629
7/1/2012,229.841,214439.6667,873,401658.6667,10106.30769,1.606
10/1/2012,231.3693333,221964.3333,915,407432.6667,10336.62143,1.582
1/1/2013,232.2993333,219196.6667,952,414568.3333,10486.48333,1.579
4/1/2013,232.045,231089.6667,985.6666667,414015.6667,10610.07692,1.567
7/1/2013,233.3,222999.3333,988.3333333,417808.6667,10773.51429,1.563
10/1/2013,234.1626667,230947,1026,420906,10970.6,1.557
1/1/2014,235.621,228307.3333,1027.333333,424110.6667,11133.32308,1.536
4/1/2014,236.8723333,234942,1039.333333,434476.3333,11309.53846,1.541
7/1/2014,237.4783333,254902.6667,1066.666667,438164.6667,11458.17692,1.546
10/1/2014,236.8883333,227138.3333,1074.333333,439988.6667,11601.00769,1.538
1/1/2015,235.355,224571.6667,1084.333333,437776.6667,11812.75385,1.523
4/1/2015,236.96,224664,1271.333333,445234.6667,11951.93846,1.525
7/1/2015,237.855,225371,1149,449493.6667,12096.80769,1.516
10/1/2015,237.837,223574.3333,1204,449238.6667,12257.81538,1.499
1/1/2016,237.777,218302.6667,1157.333333,450670.6667,12520.04615,1.474
4/1/2016,239.473,217188.3333,1185.666667,455601.6667,12749.11538,1.463
7/1/2016,240.5913333,217009.3333,1226,459831.3333,12952.6,1.452
10/1/2016,242.1153333,222316.6667,1252.666667,464770,13147.61538,1.447
1/1/2017,243.822,222201.6667,1281.333333,473369,13332.09231,1.442
4/1/2017,244.0543333,230806.6667,1263.333333,474458.3333,13515.85385,1.433
7/1/2017,245.359,229081,1277,478918,13659.86923,1.435
10/1/2017,247.25,236321.6667,1316.666667,490093,13794.43077,1.445
1/1/2018,249.2346667,240127.3333,1370.666667,494054,13892.9,1.456
4/1/2018,250.591,246200.3333,1344.666667,499817,14045.7,1.462
7/1/2018,251.8826667,250200.3333,1293,503038.6667,14186.13846,1.461
10/1/2018,252.6973333,246818.3333,1306.666667,504682.6667,14275.91429,1.465
1/1/2019,253.2753333,248254.3333,1316,507441.3333,14464.775,1.459
4/1/2019,255.1706667,237957.3333,1313.666667,516799.3333,14646.46923,1.454
7/1/2019,256.3246667,242857.6667,1424.666667,522547.6667,14932,1.442
10/1/2019,257.8323333,239548.6667,1490,525111.3333,15235.2,1.427
1/1/2020,258.6076667,230877.3333,1443.333333,513612.6667,15600.43077,1.381
4/1/2020,256.2946667,189193.6667,1180,476982,17667.63077,1.104
,,,,,,
